[	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.5700000000000001e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	]
[	3.3333333333333333e-02	3.5417416406584836e-07	3.0155654560027309e-05	2.1008110095069549e-03	-3.7785541077484504e-04	8.8934896168552777e-05	-2.9365443562358955e-07	-2.2325587994622041e-05	1.5699556220612159e+00	-5.3917214177016501e-05	-5.8679125741161137e-04	-3.7788135185965713e-04	5.9616004139624416e-04	2.4915089446867005e-05	1.8219400169027448e-03	1.2604855711003421e-01	-2.2671304091965619e-02	5.3363265370081469e-03	-1.6587155134646569e-05	-1.3472749231697148e-03	-2.6573731925831766e-03	-3.2240369779005227e-03	-3.5223899048255992e-02	-2.2673338129247510e-02	3.5769995653097519e-02	1.6432589500452544e-01	]
[	6.6666666666666666e-02	2.1538159155030798e-06	1.2315839379366641e-04	8.4032241754322494e-03	-1.5114177661937711e-03	3.5578507952444406e-04	-1.3754524400760617e-06	-9.0860039618891088e-05	1.5698235564622109e+00	-2.1347212621957828e-04	-2.3504542488586560e-03	-1.5116186909699973e-03	2.3847184962145266e-03	9.4167641278768540e-05	3.7964668046796212e-03	2.5209596685073554e-01	-4.5342364093000936e-02	1.0675439853228594e-02	-3.3174310269293132e-05	-2.7882888228503151e-03	-5.2504184811778074e-03	-6.3166883738556105e-03	-7.0644931951327775e-02	-4.5352355127828523e-02	7.1544665184058165e-02	3.2864744159056242e-01	]
[	1.0000000000000001e-01	7.6121570875018302e-06	2.8663414969078843e-04	1.8907189318039842e-02	-3.4006750177626509e-03	8.0068739898494384e-04	-3.8496976614516359e-06	-2.1028895752121473e-04	1.5696070249840766e+00	-4.7221646337499199e-04	-5.3007239967479535e-03	-3.4015056759887897e-03	5.3659030209446176e-03	2.5196654029556518e-04	6.0764599276701024e-03	3.7814165641219843e-01	-6.8012912067380263e-02	1.6020179371865527e-02	-4.9761465403939698e-05	-4.4170100580728016e-03	-7.7141530329546404e-03	-9.1557709450905706e-03	-1.0645120302792774e-01	-6.8043533469687542e-02	1.0732821341037027e-01	4.9296150925061494e-01	]
[	1.0000000000000001e-01	7.7180369094936987e-06	2.8779968829840480e-04	1.8907688561354333e-02	-3.4006839765430789e-03	8.0072607588896664e-04	-3.3333750971529935e-06	-2.1094902649714564e-04	1.5696070946753549e+00	-4.7351790111978742e-04	-5.3015476045600472e-03	-3.4015107473522599e-03	5.3667750995897625e-03	2.5618142967080595e-04	6.1230390092895486e-03	3.7816047664278207e-01	-6.8013054266478926e-02	1.6021790657803778e-02	-4.9761496859511379e-05	-4.4204468054103944e-03	-7.7253883400659551e-03	-9.1745923762764411e-03	-1.0645927076239736e-01	-6.8043217607927156e-02	1.0731747879768612e-01	4.9296069697588096e-01	]
[	1.3333333333333333e-01	-2.6766958488330261e-05	5.3409964696430061e-04	3.2689252534457640e-02	-6.0594577662360007e-03	4.6939309111162153e-03	-2.2962342866150420e-05	-1.6047430919353926e-04	1.5666421453764179e+00	-1.4457222449782603e-03	-9.3581305353805100e-03	-6.0601860396263555e-03	9.4657503964077246e-03	-2.5319852496049938e-03	8.7440980170982018e-03	4.4874015472625717e-01	-9.1515581279157973e-02	2.1758103700924808e-01	5.1246457541485036e-05	6.9185611540194397e-03	-1.6953172315542747e-01	-4.9670946068463402e-02	-1.3707469817378323e-01	-9.1441182870631993e-02	1.3861064231257211e-01	6.5716536005847603e-01	]
[	1.6666666666666669e-01	-1.6267456938254339e-04	8.7767834435484239e-04	4.8824600717715522e-02	-9.5019650347555260e-03	1.5306699913725503e-02	-1.0338687481868059e-04	1.8756340197230635e-04	1.5583875749500209e+00	-3.8552442027820180e-03	-1.4453373417305132e-02	-9.4940292686569831e-03	1.4606876508272462e-02	-5.4640879574576508e-03	1.1990882140829112e-02	5.1940252755226979e-01	-1.1504105427237685e-01	4.1922396087034064e-01	1.5225441194248159e-04	1.2625123261374445e-02	-3.2392656407690640e-01	-9.6458243047640155e-02	-1.6892177808117931e-01	-1.1453747740413248e-01	1.6985140851511848e-01	8.2076739128338849e-01	]
[	2.0000000000000001e-01	-3.6844824318050937e-04	1.3428028097645500e-03	6.7318310343628424e-02	-1.3728641193843365e-02	3.2642549150971673e-02	-2.9922817385921366e-04	5.6731149267712222e-04	1.5452036931891564e+00	-8.0081810661259394e-03	-2.0646115639839337e-02	-1.3695181268420772e-02	2.0789308426241715e-02	-6.3628532561397942e-03	1.6078482267091836e-02	5.9026780582313942e-01	-1.3856094960531512e-01	6.2102721815214401e-01	2.5326236634347793e-04	8.1077959733307937e-03	-4.6425686515573333e-01	-1.5504747193582588e-01	-2.0319097870725189e-01	-1.3758984446035627e-01	2.0110671507655450e-01	9.8322617385702094e-01	]
[	2.0000000000000001e-01	-3.6972135921722351e-04	1.3498456426247979e-03	6.7317072796655136e-02	-1.3728170427177543e-02	3.2646913770782382e-02	-3.5762455696282516e-04	5.5035156180469438e-04	1.5452085025371807e+00	-8.0145944713621749e-03	-2.0644957591381033e-02	-1.3698800149686647e-02	2.0778171201238978e-02	-6.4344858932306832e-03	1.6225493051498931e-02	5.9023551089890758e-01	-1.3854437843176443e-01	6.2102889268281181e-01	2.5326208432278723e-04	7.5734931953794216e-03	-4.6411102430693141e-01	-1.5521253091732373e-01	-2.0321326251383709e-01	-1.3771568186164501e-01	2.0090835417225286e-01	9.8320787708886170e-01	]
[	2.3333333333333334e-01	-5.7049214587477886e-04	1.6648290465954897e-03	8.5724120107611351e-02	-1.4938297513216466e-02	5.2225244529330986e-02	-6.4101185244358927e-04	-4.8845787220670972e-04	1.5313911158199451e+00	-1.3860944694610718e-02	-2.7638341421053144e-02	-1.4980327386943224e-02	2.7858047759493271e-02	-4.2321370778762137e-03	3.4385556480753740e-03	5.1415674737558725e-01	6.6021579085228363e-02	5.5382157195323323e-01	2.3638816184274952e-04	-7.4793187792952645e-02	-3.6170700928459454e-01	-1.9929743682952200e-01	-2.1596936724631319e-01	5.9547181707101271e-02	2.2399421153181967e-01	1.1442448347951657e+00	]
[	2.6666666666666666e-01	-5.6614676801103846e-04	1.6150230165340427e-03	1.0159126474670643e-01	-9.3189607407486476e-03	6.9567364553714914e-02	-8.5470456983780018e-04	-4.7126679436606993e-03	1.5212674372384334e+00	-2.1483018584070472e-02	-3.5050778850092341e-02	-9.8206661204279528e-03	3.5706594840703446e-02	5.6830644207441312e-03	-6.1197575279989848e-03	4.3781442808480509e-01	2.7120701887645432e-01	4.8683129523383045e-01	2.1951423936271167e-04	-1.8206759527995839e-01	-2.4378886339891395e-01	-2.5969889752654612e-01	-2.2947977015072404e-01	2.4860491770213866e-01	2.4663439460253578e-01	1.3043548713294202e+00	]
