[	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	7.0724147919802497e-24	1.7015907936451447e-24	0.0000000000000000e+00	1.7661108957083421e-01	-4.6434943438857779e-01	-2.0402269891506411e-25	1.9499251721959466e-23	-1.2589921750173469e-23	-4.3769168346812686e-24	3.8632545829335754e-26	-2.1809699381919218e-25	-1.1631481198286842e-24	7.8100578499747981e-25	-7.2670619452480330e-25	2.7051818094657718e-24	1.3772102050415782e-23	5.8897802201279477e-24	-4.4540117372921795e-23	3.8451383687839721e-23	8.5627813028363784e-24	1.4074245967878822e-24	0.0000000000000000e+00	]
[	1.6666666666666666e-02	2.5928352745591734e-17	3.9868195532851105e-18	-1.3624999999999874e-03	5.1639223792320049e-17	-1.3091481544448671e-15	3.3360192072252701e-23	1.7661108957083410e-01	-4.6434943438857629e-01	-7.0243542858278522e-17	-3.1510900514466668e-16	-3.6497104530936149e-17	2.8050663881311717e-16	3.1664416441805565e-15	5.1676033610440663e-16	-1.6349999999999837e-01	8.0969474729525427e-15	-1.6324888642245796e-13	4.0005146456899003e-21	-1.5329219944173599e-14	1.7699133174374680e-13	-1.2315991576296475e-14	-3.6230017743325725e-14	-4.4308506741160298e-15	3.3686776201061737e-14	2.8853191663067676e-08	]
[	3.3333333333333333e-02	7.0290576624781282e-17	6.9180884731696023e-18	-5.4499999999999688e-03	-1.0439308125853453e-16	-3.7156769118881917e-15	1.3335075286691082e-22	1.7661108957083371e-01	-4.6434943438857401e-01	2.1337633633448276e-16	-1.4390963494674782e-15	-1.1858984689370468e-16	1.1155782052042414e-15	1.3297151949127854e-15	-2.2001842743324443e-16	-3.2699999999999901e-01	-2.3381065218038972e-14	-1.0983895238494703e-13	7.9983255009959983e-21	-2.6279610611221190e-14	9.6394585049735264e-14	3.2512806001876023e-14	-9.1329819951108794e-14	-4.5463319570058361e-15	6.6444887610114392e-14	2.6192503041628402e-07	]
[	5.0000000000000003e-02	7.9055264155139941e-17	-2.2593019343910338e-18	-1.2262499999999961e-02	-8.1021577105138529e-16	-5.0270975187144427e-15	2.9997135907444430e-22	1.7661108957083319e-01	-4.6434943438857335e-01	1.2705888398541485e-15	-3.4875014901610819e-15	-1.9745091844806922e-16	2.4957390967894375e-15	-1.4397153581043068e-15	-1.0882334297072866e-15	-4.9050000000000044e-01	-6.8615654035986789e-14	-2.4036356493338517e-15	1.1996135883741897e-20	-3.8443749326809250e-14	-5.5060856875332920e-14	1.0363124670955442e-13	-1.5723308466345671e-13	-3.9330011204864396e-15	9.8973555569582947e-14	1.5036890624999900e-06	]
[	5.0000000000000003e-02	-6.2199240404132420e-16	-2.5822924438761950e-16	-1.2262500000000433e-02	-1.0463286933349592e-14	3.9054877323190375e-14	2.9997069056921589e-22	1.7661108957083332e-01	-4.6434943438862408e-01	2.9952541028245945e-15	8.1357922996916698e-15	6.6494506920363070e-16	-5.1719382688881839e-15	1.9074629353296551e-14	1.9711866929674953e-15	-4.9050000000000238e-01	-1.1980063585172986e-13	-3.1247621104890804e-13	1.1996135469696817e-20	-1.0751620443916448e-13	1.6547622682012012e-13	2.3863824920877557e-13	8.0780052756854863e-14	-1.8727902237411538e-14	-1.9832725979542642e-13	1.5036890625001243e-06	]
[	6.6666666666666666e-02	-6.4316350954268949e-04	-4.6111470309924196e-04	-1.9766704372017951e-02	-1.7214794963619870e-02	2.4169760651829880e-02	1.5163320921851588e-03	1.6848291840735946e-01	-4.9295564266734210e-01	2.8339480832746651e-03	4.0437282635003000e-05	4.5936643995119399e-03	-9.1063471118998267e-04	-7.4025602538994845e-02	-5.2836892658967786e-02	-4.1023536338617600e-01	-2.0521953330381857e+00	2.9053331516542555e+00	2.2141683027028322e-01	-9.8705724799174988e-01	-3.4397894389165864e+00	3.4785277881024335e-01	5.8844792353122902e-03	5.5241996462466869e-01	-1.0636659163320845e-01	5.9341026278423260e-06	]
[	8.3333333333333343e-02	-2.3048995678044866e-03	-1.6279250866549357e-03	-2.5955550531898554e-02	-6.6544815684284109e-02	9.7638302386120493e-02	3.9895782777567296e-03	1.4274963771133592e-01	-5.7960591426329400e-01	1.2239270422141577e-02	2.8233742020269303e-04	1.8509536443129301e-02	-3.3044353039445246e-03	-1.1865211798131341e-01	-8.1595193830422699e-02	-3.3338692268920367e-01	-3.8092209452926569e+00	5.9343972510605534e+00	4.4283366054060097e-01	-2.1569628477133302e+00	-6.9982717473026694e+00	8.1982292340370000e-01	2.8581780694220096e-02	1.1226646097896580e+00	-1.6623196777465118e-01	1.4779621708584185e-05	]
[	1.0000000000000001e-01	-4.4018775136109240e-03	-3.0240874481136598e-03	-3.0902072033593461e-02	-1.3864460321750535e-01	2.2400570626155666e-01	-1.0037351971504838e-11	9.4823320796702040e-02	-7.2783063263412262e-01	3.1481890372917147e-02	1.1945646214352231e-03	4.2157021270758786e-02	-5.9531543529182029e-03	-1.2518542470098590e-01	-8.0108666195028100e-02	-2.6061303105823869e-01	-4.8434680233438963e+00	9.2771877765823998e+00	6.6425049081092791e-01	-3.6591490691202888e+00	-1.0866030537132604e+01	1.5430079406751585e+00	9.0230829860071193e-02	1.7193274573665420e+00	-1.3117044393565733e-01	2.8472777229544570e-05	]
[	1.0000000000000001e-01	-4.4018775124126178e-03	-3.0240874481646486e-03	-3.0902072033242273e-02	-1.3864460321802868e-01	2.2400570625701782e-01	1.3406054252599529e-21	9.4823320797133570e-02	-7.2783063262901926e-01	3.1481890376959580e-02	1.1945646123977984e-03	4.2157021269148116e-02	-5.9531543368224055e-03	-1.2518542469738264e-01	-8.0108666212861043e-02	-2.6061303103315209e-01	-4.8434680235063823e+00	9.2771877770875957e+00	6.6425049077331288e-01	-3.6591490692001276e+00	-1.0866030537763043e+01	1.5430079408791213e+00	9.0230829514824168e-02	1.7193274574634831e+00	-1.3117044331738004e-01	2.8472777229845700e-05	]
[	1.1666666666666667e-01	-5.4052230418262645e-03	-3.5534494817057315e-03	-3.5554486755169180e-02	-1.9403799338619487e-01	3.6231975802497696e-01	-8.6615615077163047e-03	3.9155115715447407e-02	-8.7906438042908253e-01	3.6396236651139433e-02	2.0088016202505870e-02	8.4858031963366637e-02	-5.3427686050894528e-03	5.0992673101221660e-03	1.5502617351745313e-02	-2.9813275919405247e-01	-2.4132215701875785e+00	7.2634636895826086e+00	1.1464036665566115e+00	-2.9877192905968162e+00	-7.3067135136830732e+00	-9.5659237425513921e-01	2.1771028961237273e+00	3.4014338476540811e+00	1.9996140909774529e-01	4.7107870883621343e-05	]
