[	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	5.8000000000000000e+01	5.8000000000000000e+01	5.8000000000000000e+01	5.8000000000000000e+01	]
[	1.8181818181818184e-02	9.7510116607052080e-10	-1.5966784698236573e-17	4.4626401223097522e-06	2.6963374396492388e-07	-8.7049552317143945e-15	1.5753131523408631e-03	-3.7986486280820959e-13	-5.9384494114938596e-06	2.0211949175275759e-07	6.3039477085083731e-11	-9.8265644635709966e-04	3.3444348439432642e-05	5.9078766548399557e+01	5.9078766547352672e+01	5.9089019009810094e+01	5.8987018086694782e+01	]
[	3.6363636363636369e-02	3.2125789286559400e-08	-6.5786818589558522e-15	9.7082813591674381e-05	4.4695864061333344e-06	-1.4894862297609479e-12	9.7171924620153925e-03	-2.8189467937265758e-11	-4.7925204306024151e-05	1.6310115418123099e-06	1.7673480176652184e-09	-3.9769669203382511e-03	1.3533726393180449e-04	6.0157533096799092e+01	6.0157533094705315e+01	6.0178038019620196e+01	5.9974036173389578e+01	]
[	5.4545454545454543e-02	2.5127263006255451e-07	-1.8191035427626126e-13	3.9832791150404951e-04	2.3439582450960415e-05	-2.7232048646606253e-11	2.4543498013884026e-02	-3.3083072962093681e-10	-1.6316895772421338e-04	5.5525086894654220e-06	1.3458773585979258e-08	-9.0524500486369487e-03	3.0801878481555745e-04	6.1236299645198642e+01	6.1236299642057951e+01	6.1267057029430340e+01	6.0961054260084396e+01	]
[	7.2727272727272738e-02	1.0903244430318088e-06	-1.9082090193490072e-12	1.0308009551176936e-03	7.6708492014018948e-05	-2.1463036718736931e-10	4.6172078312856427e-02	-1.8971449435978291e-09	-3.9014010949267906e-04	1.3274912418211262e-05	5.7576595455158925e-08	-1.6278620335702449e-02	5.5382881067469894e-04	6.2315066193598184e+01	6.2315066189410629e+01	6.2356076039240463e+01	6.1948072346779234e+01	]
[	9.0909090909090912e-02	3.4253806322166281e-06	-1.1876203613704691e-11	2.1192497174165998e-03	1.9384232398807780e-04	-1.0725768185344317e-09	7.4720769154061409e-02	-7.3711688261752383e-09	-7.6857361505809716e-04	2.6149089787543736e-05	1.7881210603526835e-07	-2.5724993560945299e-02	8.7510728402071295e-04	6.3393832741997748e+01	6.3393832736763258e+01	6.3445095049050579e+01	6.2935090433474073e+01	]
[	1.0909090909090909e-01	8.7723801456476790e-06	-5.3221965563436292e-11	3.7905753129593356e-03	4.1588586639090119e-04	-4.0219911272943290e-09	1.1030737999703646e-01	-2.2403102731236712e-08	-1.3394720178813819e-03	4.5568575386553881e-05	4.5309640780752256e-07	-3.7461091495836221e-02	1.2741943490962276e-03	6.4472599290397284e+01	6.4472599284115901e+01	6.4534114058860666e+01	6.3922108520168884e+01	]
[	1.2727272727272729e-01	1.9509179125806662e-05	-1.9018270517880759e-10	6.1738064155679728e-03	7.9688218031030743e-04	-1.2371152660204133e-08	1.5304963204266120e-01	-5.7478856058326406e-08	-2.1450974046121696e-03	7.2969295215395666e-05	9.9740594180427581e-07	-5.1556428385888635e-02	1.7534298969008922e-03	6.5551365838796841e+01	6.5551365831468544e+01	6.5623133068670825e+01	6.4909126606863694e+01	]
[	1.4545454545454548e-01	3.9126941407511595e-05	-5.7586545300419187e-10	9.4001203218218015e-03	1.4055026554216407e-03	-3.2915482350755366e-08	2.0306511544112277e-01	-1.3027863806050767e-07	-3.2289788751674814e-03	1.0982981440724501e-04	1.9804720371850124e-06	-6.8080523436055335e-02	2.3151539855526203e-03	6.6630132387196397e+01	6.6630132378821216e+01	6.6712152078480941e+01	6.5896144693558483e+01	]
[	1.6363636363636366e-01	7.2508717945342124e-05	-1.5361848942791201e-09	1.3602778506040908e-02	2.3267197349880952e-03	-7.8380093858598200e-08	2.6047113818760492e-01	-2.6858973171306466e-07	-4.6358918636820101e-03	1.5767062291632274e-04	3.6342384060036304e-06	-8.7102869269763503e-02	2.9617057787631172e-03	6.7708898935595911e+01	6.7708898926173887e+01	6.7801171088291042e+01	6.6883162780253315e+01	]
